country,year,gdp,inflation,unemployment
Aruba,1999,1722910000.0,2.28037,
Africa Eastern and Southern,1999,265429000000.0,7.81986,
Afghanistan,1999,,,
Africa Western and Central,1999,139468000000.0,0.372266,
Angola,1999,6152920000.0,248.196,
Albania,1999,3212120000.0,0.389438,18.4
Andorra,1999,1240300000.0,,
Arab World,1999,665415000000.0,2.66937,
United Arab Emirates,1999,84445500000.0,,
Argentina,1999,283523000000.0,,14.05
Armenia,1999,1845480000.0,0.648246,11.2
American Samoa,1999,,,
Antigua and Barbuda,1999,835515000.0,1.12129,
Australia,1999,389652000000.0,1.48313,6.876
Austria,1999,216422000000.0,0.568994,4.699
Azerbaijan,1999,4581250000.0,-8.52517,16.25
Burundi,1999,808077000.0,3.38542,14.0
Belgium,1999,258246000000.0,1.12085,8.649
Benin,1999,3677390000.0,0.326723,
Burkina Faso,1999,3389570000.0,-1.07261,
Bangladesh,1999,51270600000.0,6.1067,
Bulgaria,1999,13627300000.0,2.57304,14.1
Bahrain,1999,7528470000.0,-1.28759,
"Bahamas, The",1999,7683870000.0,1.25425,7.45
Bosnia and Herzegovina,1999,4686260000.0,,
Belarus,1999,12138200000.0,293.679,2.1
Belize,1999,1000250000.0,2.6214,12.84
Bermuda,1999,3324430000.0,,
Bolivia,1999,8285060000.0,2.15952,3.93
Brazil,1999,599642000000.0,4.85845,11.125
Barbados,1999,2951820000.0,1.56006,10.61
Brunei Darussalam,1999,6309070000.0,-0.415628,
Bhutan,1999,399311000.0,6.77699,1.4
Botswana,1999,5484260000.0,7.7493,
Central African Republic,1999,999478000.0,-1.4142,
Canada,1999,678412000000.0,1.73484,7.583
Central Europe and the Baltics,1999,435931000000.0,4.01914,10.4170865946518
Switzerland,1999,297874000000.0,0.806444,3.053
Channel Islands,1999,6262740000.0,,
Chile,1999,75578700000.0,3.33688,11.158
China,1999,1094000000000.0,-1.40147,3.1
Cote d'Ivoire,1999,18871000000.0,0.702376,
Cameroon,1999,11565800000.0,1.87174,
"Congo, Dem. Rep.",1999,4711260000.0,284.895,
"Congo, Rep.",1999,2354770000.0,4.14267,
Colombia,1999,86278900000.0,10.8737,20.06
Comoros,1999,382455000.0,,
Cabo Verde,1999,592417000.0,4.35643,
Costa Rica,1999,14254900000.0,10.0453,
Caribbean small states,1999,16585400000.0,1.56006,
